Date,FCI
2003-12,0.8759554323169344
2004-01,0.8697904503161324
2004-02,1.0278129931041489
2004-03,0.983494888440302
2004-04,0.9689244459305654
2004-05,0.6893725631660962
2004-06,0.7290720496395915
2004-07,0.514462471524668
2004-08,0.49498977279386147
2004-09,0.6864569128915449
2004-10,0.578104075790177
2004-11,0.7007264164551802
2004-12,0.9326388980820314
2005-01,0.6811439830358736
2005-02,1.0851808285367375
2005-03,0.8567716687024565
2005-04,0.5311490171267381
2005-05,0.6371199780288876
2005-06,0.8549784765522025
2005-07,1.0608119429914578
2005-08,1.0454715230058922
2005-09,1.3681178603569828
2005-10,0.972651880010986
2005-11,1.078243775884675
2005-12,1.232015075469108
2006-01,1.3656964156361104
2006-02,1.5398562324101166
2006-03,1.6056133981198948
2006-04,1.821758178221742
2006-05,1.1913909657903436
2006-06,1.077489103246313
2006-07,1.4796886617740204
2006-08,1.1135745864165307
2006-09,1.147606733862677
2006-10,1.3711821219475229
2006-11,1.4737897398094606
2006-12,1.3826852075269238
2007-01,1.6634743876748552
2007-02,1.178326294580704
2007-03,1.5521063582563908
2007-04,1.4780245180236742
2007-05,1.7326851514734647
2007-06,1.65461774783653
2007-07,1.3036832974410082
2007-08,0.7737856735023202
2007-09,0.7744323609027879
2007-10,0.9713642040452493
2007-11,0.20408743832796158
2007-12,0.043284129042324655
2008-01,-0.5435381814055399
2008-02,-0.6362235305115257
2008-03,-0.5236262352701759
2008-04,-0.49944913348615594
2008-05,-0.5135950102128339
2008-06,-0.9730765180523095
2008-07,-0.8781163897096705
2008-08,-0.9367429568138801
2008-09,-1.0701567418612756
2008-10,-1.9444166634771396
2008-11,-2.160344070164383
2008-12,-2.0236868432666935
2009-01,-2.077686776786095
2009-02,-2.3044435119872166
2009-03,-2.1743389558152155
2009-04,-1.670534602591183
2009-05,-1.518245293124932
2009-06,-1.3500067744594273
2009-07,-0.9085883415708004
2009-08,-0.7286117132140638
2009-09,-0.6540995100064361
2009-10,-0.367595019990084
2009-11,-0.25613409099077605
2009-12,-0.0013190454257234363
2010-01,0.05826417586890638
2010-02,-0.07112063245667234
2010-03,0.47126042389956446
2010-04,0.5194502025706031
2010-05,0.21791611709006659
2010-06,-0.05457228978936316
2010-07,0.24656149001113176
2010-08,0.17869864854311546
2010-09,0.44151164084702593
2010-10,0.43070575409946216
2010-11,0.20534121657127927
2010-12,0.45374961814238535
2011-01,0.29834647355555466
2011-02,0.368969861906622
2011-03,0.31425961007129355
2011-04,0.3289032773146456
2011-05,0.17704457230310242
2011-06,0.10400717182193349
2011-07,-0.22598839485211256
2011-08,-0.8755237897758931
2011-09,-1.2997088452347931
2011-10,-0.9098525640334516
2011-11,-1.0976398951607265
2011-12,-1.211801660016178
2012-01,-0.8673381050186475
2012-02,-0.8369484098008543
2012-03,-0.7637262423760336
2012-04,-0.9163234934476847
2012-05,-1.2171348462830491
2012-06,-0.9069967570023459
2012-07,-0.8789945747398764
2012-08,-0.7364678725752385
2012-09,-0.491929191395534
2012-10,-0.43767934247217044
2012-11,-0.15428040869352785
2012-12,0.12278531801750531
2013-01,0.09019240262184348
2013-02,0.05545188147117635
2013-03,-0.0199192920571994
2013-04,0.011084724766277672
2013-05,0.32657859591625443
2013-06,-0.06439860328144492
2013-07,0.19351687527228312
2013-08,0.2997023564903241
2013-09,0.32806224944857554
2013-10,0.5811294564075236
2013-11,0.584294104467657
2013-12,0.4632929773775044
2014-01,0.18118010152616332
2014-02,0.42945864062704936
2014-03,0.2985562079850035
2014-04,0.2614302847541978
2014-05,0.30800921862135155
2014-06,0.321430918699368
2014-07,0.17825099191300214
2014-08,0.2467827096831065
2014-09,0.47603248746366933
2014-10,0.5393335780572928
2014-11,0.5295725141128015
2014-12,0.3960632286124855
2015-01,0.42218923685517584
2015-02,0.55397773180301
2015-03,0.5008861872405556
2015-04,0.5415645315843184
2015-05,0.36212351547817334
2015-06,0.1585342860700995
2015-07,0.16642683658283958
2015-08,0.08609048044002984
2015-09,-0.04003063743992812
2015-10,0.08120567146659832
2015-11,-0.019442731268723642
2015-12,-0.18123093317491143
2016-01,-0.34094774432703984
2016-02,-0.2980853656251164
2016-03,-0.03509065000152585
2016-04,-0.170420475140703
2016-05,-0.2404329280103451
2016-06,-0.32229820253441654
2016-07,-0.21283081031111328
2016-08,-0.08573430752503368
2016-09,-0.1529618238445294
2016-10,0.007729835311402572
2016-11,-0.024877554839486504
2016-12,0.20487010513556345
2017-01,0.4210270804716281
2017-02,0.5172952619287898
2017-03,0.5973217940900165
2017-04,0.8067017265749683
2017-05,0.6542514920378241
2017-06,0.7426384805662041
2017-07,0.7876475394663528
2017-08,0.8506020534736094
2017-09,0.7688846071651264
2017-10,0.7884437677290421
2017-11,0.6674190457580038
2017-12,0.7014253540649047
2018-01,0.8017726893623746
2018-02,0.5556603508279246
2018-03,0.34529462645235415
2018-04,0.504218913181159
2018-05,0.29540144645576166
2018-06,0.18826550637430586
2018-07,0.40373948211824856
2018-08,0.30987763207466784
2018-09,0.2636378380981429
2018-10,0.07724902200961185
2018-11,0.22611989663950366
2018-12,0.1974651689658196
2019-01,0.33169645126349756
2019-02,0.3308153139709613
2019-03,0.27837143793896363
2019-04,0.30281264995044904
2019-05,0.11195360130422627
2019-06,0.25618724503168344
2019-07,0.35455897755040167
2019-08,0.06485711179072254
2019-09,0.14854926335718788
2019-10,0.2375688725806497
2019-11,0.2542684519673624
2019-12,0.32328871105850243
2020-01,0.17635780512729227
2020-02,-0.1613096928261104
2020-03,-1.0277547877356408
2020-04,-0.6416432599438475
2020-05,-0.14543249570626998
2020-06,-0.13956025233572578
2020-07,0.022531599390862023
2020-08,0.1304957968504356
2020-09,-0.012260033220154254
2020-10,-0.20585729831971925
2020-11,0.18688249369378282
2020-12,0.4556328095517688
2021-01,0.6171232686497677
2021-02,0.6518791528391721
2021-03,0.8195651779098856
2021-04,0.8768081698376388
2021-05,1.0613904121128286
2021-06,1.0217045088181107
2021-07,1.1237309935734898
2021-08,1.2415440551391383
2021-09,1.0328977101406644
2021-10,0.8941319149875904
2021-11,0.46385572064419
2021-12,0.32208815115696193
2022-01,0.1936031112127946
2022-02,-0.19449608367348015
2022-03,-0.3003476203143352
2022-04,-0.7673800904060476
2022-05,-0.9956816315877355
2022-06,-1.084954124301336
2022-07,-0.6956483305466359
2022-08,-0.9534479469449018
2022-09,-1.358872602714889
2022-10,-1.3374714984989267
2023-01,-0.3012353806340056
2023-02,-0.28086743171680795
2023-03,-0.3668656230829334
2023-04,-0.12602072268497655
2023-05,-0.16802014419950245
2023-06,0.2493115670137239
