,Current Account Balance: USD mn: Quarterly: Nigeria
Region,Nigeria
Subnational,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,USD MN
Source,CEIC Data
Status,Active
Series ID,419518077
SR Code,SR197224347
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,2008-03
Last Obs. Date,2022-12
Last Update Time,26/04/2023
Series remarks,
Suggestions,
Mean,1486.059483583
Variance,16850880.581631653
Standard Deviation,4104.982409418054
Skewness,0.10474589211862698
Kurtosis,-0.5524102326166562
Coefficient Variation,2.7623271172972403
Min,-6119.46661025
Max,10383.67145622
Median,1700.753370875
No. of Obs,60
2008-03,9432.16236364
2008-06,10383.67145622
2008-09,10109.89160108
2008-12,-586.42529415
2009-03,1272.65916595
2009-06,2190.24228546
2009-09,3401.27366953
2009-12,7156.93371241
2010-03,1648.69388433
2010-06,4061.99404885
2010-09,2232.44627252
2010-12,6636.55631585
2011-03,5649.53646585
2011-06,6705.71999915
2011-09,-3282.08177163
2011-12,3584.44250821
2012-03,4495.20881299
2012-06,1333.62214667
2012-09,8582.59995664
2012-12,4520.78655498
2013-03,6554.4623385
2013-06,4594.95351939
2013-09,3674.3414541
2013-12,5324.42925156
2014-03,3188.7057895
2014-06,-263.4856719
2014-09,1159.5987308
2014-12,-3178.27797119
2015-03,-5669.82837222
2015-06,-2059.63333706
2015-09,-5695.26737236
2015-12,-2013.91345233
2016-03,1728.86275694
2016-06,-1130.32934227
2016-09,560.26754509
2016-12,3918.41651634
2017-03,4114.46403444
2017-06,2162.93022334
2017-09,2799.28437894
2017-12,4487.08658258
2018-03,2260.47660453
2018-06,5185.93745219
2018-09,-691.3892277
2018-12,528.12963395
2019-03,-1908.07112168
2019-06,-3790.26714315
2019-09,-1867.41412911
2019-12,-6119.46661025
2020-03,-4519.41119401
2020-06,-3185.58558487
2020-09,-3510.60883394
2020-12,-4770.31987014
2021-03,-4653.30706228
2021-06,1672.64398481
2021-09,1077.74614953
2021-12,-1351.12463573
2022-03,-1693.77787
2022-06,2426.86501996
2022-09,-2062.8025984
2022-12,2348.31429453