Date,Foreign Exchange Reserves USD mn,GDP in mil USD,FER/GDP
2002-03-31,25568.8,45864.59,0.5574845430865075
2002-04-30,25702.8,47769.3,0.5380610559501604
2002-05-31,25909.4,48687.24,0.5321599663484725
2002-06-30,26556.8,49368.58,0.5379291849188289
2002-07-31,27620.8,47971.5,0.5757751998582491
2002-08-31,27661.4,47223.59,0.5857538573412145
2002-09-30,27515.3,48431.83,0.5681243099837441
2002-10-31,27518.8,51045.6,0.5391022928518815
2002-11-30,27777.1,55481.55,0.5006547221553831
2002-12-31,27959.4,57002.74,0.4904922114270297
2003-01-31,28568.3,56149.71,0.5087880240165087
2003-02-28,29995.6,52779.58,0.5683182776369193
2003-03-31,29274.6,48700.8,0.6011112753794599
2003-04-30,29166.0,49396.92,0.5904416712620949
2003-05-31,31525.5,53915.77,0.5847176067410333
2003-06-30,30160.9,54659.97,0.551791374931234
2003-07-31,30087.8,53194.27,0.5656210715928615
2003-08-31,29609.3,52678.06,0.5620803043999723
2003-09-30,30764.2,52473.07,0.5862854984471082
2003-10-31,31661.5,55757.58,0.567842076359842
2003-11-30,31945.1,58186.51,0.5490121335684164
2003-12-31,31917.9,62215.88,0.5130185412470257
2004-01-31,34838.6,61918.05,0.5626566082103683
2004-02-29,35477.3,57555.67,0.6163997395912515
2004-03-31,34455.3,55091.18,0.625423162110523
2004-04-30,33450.4,54398.9,0.6149094926551824
2004-05-31,34442.1,56188.6,0.6129730941863651
2004-06-30,34202.0,59635.41,0.5735183173889472
2004-07-31,33806.0,62005.5,0.5452096991395925
2004-08-31,34731.2,61700.47,0.5629000881192638
2004-09-30,34486.2,63929.72,0.5394392467228074
2004-10-31,33337.0,70037.89,0.47598521314676956
2004-11-30,35034.8,78363.02,0.4470833308874518
2004-12-31,34563.8,85129.1,0.40601627410603425
2005-01-31,38810.9,82498.06,0.47044621412915655
2005-02-28,40341.2,79060.1,0.5102599161903412
2005-03-31,36068.5,75442.26,0.4780941079972949
2005-04-30,38617.1,71564.33,0.5396137992209247
2005-05-31,38601.8,71854.19,0.5372240644560881
2005-06-30,39153.9,72587.2,0.5394050190667226
2005-07-31,38789.8,71470.48,0.5427387643122028
2005-08-31,39301.4,73474.63,0.5348975557957897
2005-09-30,38954.3,76452.44,0.5095233062541888
2005-10-31,39579.3,78377.08,0.5049856412104151
2005-11-30,39277.6,79426.67,0.4945139963692296
2005-12-31,40497.0,84105.38,0.48150308577168305
2006-01-31,41075.8,84299.58,0.48725984162673175
2006-02-28,43426.2,80356.32,0.5404204672389178
2006-03-31,42097.4,76054.72,0.5535146273630355
2006-04-30,43038.1,76530.33,0.5623665806746162
2006-05-31,46114.6,82294.3,0.5603620177825195
2006-06-30,44682.5,80947.85,0.5519911893892179
2006-07-31,46070.2,81831.26,0.5629902313614626
2006-08-31,46388.6,84712.36,0.5476013181547533
2006-09-30,46438.9,84719.26,0.5481504441847108
2006-10-31,44919.6,90407.33,0.49685794282388385
2006-11-30,47097.9,99471.34,0.47348211052550415
2006-12-31,46117.5,105054.12,0.43898801874690874
2007-01-31,48812.8,99553.85,0.4903155427941762
2007-02-28,48479.7,95246.77,0.5089904886013457
2007-03-31,48341.0,92824.97,0.5207758214196029
2007-04-30,49582.7,96509.34,0.513760637053367
2007-05-31,52743.0,99999.09,0.527434799656677
2007-06-30,52060.1,100593.52,0.5175293597440471
2007-07-31,53649.2,103816.33,0.5167703385392259
2007-08-31,53762.6,101626.96,0.5290190713172961
2007-09-30,55627.1,106413.37,0.5227454031387222
2007-10-31,57293.5,118517.82,0.48341675538750206
2007-11-30,65341.0,131626.14,0.4964135543289501
2007-12-31,62731.4,136455.08,0.4597219832343362
2008-01-31,65262.4,135157.2,0.48286291814272564
2008-02-29,69050.7,129900.93,0.5315643236734333
2008-03-31,73604.7,132469.67,0.5556343576608894
2008-04-30,75960.5,137157.79,0.5538183430922881
2008-05-31,75716.1,139757.93,0.5417660378913741
2008-06-30,79179.5,143344.11,0.5523735854929791
2008-07-31,81666.5,149912.98,0.5447593664004278
2008-08-31,78563.5,141009.55,0.5571502072022781
2008-09-30,70991.7,133622.73,0.531284610036032
2008-10-31,61189.0,122429.2,0.49979089955664174
2008-11-30,60338.8,119507.14,0.504897029583337
2008-12-31,58941.8,120696.91,0.48834555913651806
2009-01-31,55853.5,110521.22,0.5053644901856856
2009-02-28,58417.5,92292.12,0.6329630308633066
2009-03-31,57808.9,90709.1,0.6372998960413012
2009-04-30,60741.7,95319.46,0.6372434338171868
2009-05-31,64330.0,100648.88,0.6391526661796931
2009-06-30,63644.7,102943.93,0.6182462627956792
2009-07-31,67948.7,107999.62,0.629156843329634
2009-08-31,70595.3,113881.11,0.6199035116535131
2009-09-30,72291.2,117946.19,0.6129167885796056
2009-10-31,77651.5,124988.44,0.6212694549991983
2009-11-30,78630.2,134182.68,0.5859936617751262
2009-12-31,73404.6,134907.82,0.544109303671203
2010-01-31,78998.2,129368.47,0.610644927624173
2010-02-28,78974.8,117912.07,0.6697770635355651
2010-03-31,79114.8,114338.43,0.6919353361769968
2010-04-30,82242.6,113687.33,0.7234104275296113
2010-05-31,80133.3,105201.72,0.7617109302015215
2010-06-30,78970.8,103347.41,0.76412945423596
2010-07-31,86893.6,108985.26,0.7972968087611114
2010-08-31,86619.5,112629.66,0.7690647383646545
2010-09-30,91850.6,116977.33,0.7852000041375539
2010-10-31,92820.2,131181.09,0.707573019861323
2010-11-30,89623.2,136650.28,0.6558581511871033
2010-12-31,86328.4,133949.8,0.644483231777875
2011-01-31,88825.3,134835.13,0.6587697137978804
2011-02-28,96331.1,129224.56,0.7454550435304249
2011-03-31,99284.3,123737.87,0.8023760227972245
2011-04-30,104240.8,129106.04,0.8074045180225495
2011-05-31,99850.3,133337.16,0.74885575783975
2011-06-30,101491.6,135705.07,0.7478836273397892
2011-07-31,98637.1,134647.07,0.7325603149032504
2011-08-31,98242.7,130298.4,0.7539823973279794
2011-09-30,92334.3,122116.08,0.7561190958635423
2011-10-31,94346.8,127807.33,0.7381955322906754
2011-11-30,90428.3,132091.02,0.6845908222981396
2011-12-31,89699.0,129565.47,0.6923063683557047
2012-01-31,91658.8,125077.96,0.7328133589642811
2012-02-29,93072.4,125601.46,0.7410136792995877
2012-03-31,91297.7,119690.54,0.7627812523863624
2012-04-30,94266.4,117723.06,0.8007471093598824
2012-05-31,90070.8,114786.12,0.7846837230842894
2012-06-30,93194.7,114796.98,0.8118218789379302
2012-07-31,93948.7,115996.83,0.8099247194944896
2012-08-31,95032.8,119112.33,0.797841835517784
2012-09-30,96814.0,123687.27,0.7827321275665636
2012-10-31,97188.5,131765.45,0.7375871292512566
2012-11-30,98733.9,136138.78,0.7252444894834521
2012-12-31,100327.8,142606.63,0.7035283001919336
2013-01-31,99463.1,136900.67,0.7265347934381914
2013-02-28,98875.8,127583.97,0.7749860738774629
2013-03-31,100692.5,116789.44,0.8621712716492176
2013-04-30,101322.1,117435.25,0.8627911977025639
2013-05-31,102722.3,120015.25,0.855910394720671
2013-06-30,100061.6,121819.51,0.8213922384025351
2013-07-31,102821.7,121218.99,0.8482309578721947
2013-08-31,101954.5,123896.72,0.8228991049964841
2013-09-30,99538.2,125937.77,0.7903760722458401
2013-10-31,98209.5,137822.36,0.7125803099003675
2013-11-30,100004.3,144504.41,0.6920501595764448
2013-12-31,99347.8,150438.16,0.6603896245473888
2014-01-31,99448.5,144766.12,0.6869597665531134
2014-02-28,97255.5,136322.83,0.7134204887031762
2014-03-31,95822.1,129809.67,0.7381738201784197
2014-04-30,95412.9,129514.62,0.7366959807317506
2014-05-31,95817.5,132586.61,0.7226785570579112
2014-06-30,94842.6,135986.12,0.6974432390599865
2014-07-31,96481.8,135653.49,0.7112371380935353
2014-08-31,95028.0,131514.43,0.7225670977701839
2014-09-30,95120.4,129518.98,0.7344128250546753
2014-10-31,93658.5,132921.49,0.7046151829926072
2014-11-30,93921.4,136972.47,0.6856954539842933
2014-12-31,94074.4,137491.66,0.6842189555351939
2015-01-31,93007.2,124273.08,0.7484098728381078
2015-02-28,91362.7,117432.76,0.7780001083173043
2015-03-31,91206.3,108209.79,0.842865511521647
2015-04-30,96833.7,110487.63,0.8764211885077089
2015-05-31,96920.3,116094.02,0.834843172800804
2015-06-30,98122.4,116867.57,0.8396033219480818
2015-07-31,93065.9,114961.62,0.8095388704508513
2015-08-31,92924.9,114493.13,0.8116198762318751
2015-09-30,95747.2,117599.25,0.8141820632359474
2015-10-31,94991.4,124127.81,0.7652708929610536
2015-11-30,92601.8,126068.94,0.7345330261363346
2015-12-31,89431.0,129851.62,0.6887168600591969
2016-01-31,94146.6,121547.27,0.7745677874953506
2016-02-29,93747.6,115399.62,0.8123735589423953
2016-03-31,95354.9,110964.09,0.8593311583954772
2016-04-30,99695.2,111813.92,0.8916170723645142
2016-05-31,102930.7,112077.85,0.9183857470499299
2016-06-30,104830.6,114425.89,0.9161440649489377
2016-07-31,103542.3,113041.1,0.9159703859923515
2016-08-31,104592.8,116147.42,0.9005176352604303
2016-09-30,106454.0,117481.58,0.9061335402537146
2016-10-31,107756.3,122620.1,0.878781700553172
2016-11-30,105868.8,125245.66,0.8452891700997863
2016-12-31,109513.0,124489.31,0.8796980238704833
2017-01-31,108696.7,123360.48,0.8811306505940962
2017-02-28,105653.3,119060.76,0.8873897663680292
2017-03-31,106862.6,114208.51,0.9356798368177643
2017-04-30,104204.9,115392.6,0.9030466425056718
2017-05-31,104502.9,122829.68,0.8507951824021686
2017-06-30,106570.3,127613.76,0.8351003841592004
2017-07-31,104571.9,130478.05,0.8014520449991397
2017-08-31,104346.6,132963.26,0.7847776897166931
2017-09-30,106086.7,136699.36,0.7760584980061356
2017-10-31,105429.2,141973.19,0.7425993597805332
2017-11-30,108159.2,150857.7,0.716961746069309
2017-12-31,108028.7,156546.62,0.6900736662343779
2018-01-31,112119.1,158342.58,0.7080792797490101
2018-02-28,110717.3,152319.87,0.7268736508244131
2018-03-31,114119.0,143268.63,0.7965386421298228
2018-04-30,107912.1,142642.43,0.7565217446169419
2018-05-31,106524.3,137916.95,0.77238004465731
2018-06-30,103748.9,138403.79,0.7496102527250156
2018-07-31,106961.7,138499.92,0.7722870886856829
2018-08-31,107837.3,138632.56,0.7778641612042655
2018-09-30,107379.0,143325.73,0.7491955561642699
2018-10-31,105275.2,148251.06,0.7101143155401385
2018-11-30,107679.5,154474.6,0.6970692916505367
2018-12-31,110394.0,158721.25,0.6955212361293778
2019-01-31,106924.7,154468.45,0.6922106099983524
2019-02-28,105727.1,145267.56,0.7278094297171371
2019-03-31,106346.7,138453.44,0.7681044255744025
2019-04-30,110405.7,138232.2,0.7986974091420088
2019-05-31,111778.8,140821.65,0.7937614706261431
2019-06-30,106135.1,146646.22,0.7237493063237498
2019-07-31,104603.3,146783.22,0.7126379977220829
2019-08-31,103986.6,142832.56,0.7280314796570194
2019-09-30,108556.0,143897.01,0.7544006647532148
2019-10-31,109427.4,152997.96,0.7152213009898956
2019-11-30,107760.3,161245.6,0.6682991659927464
2019-12-31,115832.6,166215.7,0.6968812212083455
2020-01-31,112470.3,162858.55,0.6906011382270075
2020-02-29,114860.6,151424.0,0.758536295435334
2020-03-31,107717.1,139530.82,0.7719950330686798
2020-04-30,104178.6,128277.13,0.8121369725063229
2020-05-31,118524.1,126822.6,0.9345660789165338
2020-06-30,114459.8,133937.24,0.8545778604964535
2020-07-31,121492.2,138973.52,0.8742111446842535
2020-08-31,123060.4,150889.02,0.8155689525984064
2020-09-30,123886.9,155441.32,0.7970010805363721
2020-10-31,127563.1,161381.9,0.7904424226012955
2020-11-30,129587.3,171103.64,0.7573614447945116
2020-12-31,138523.5,179341.93,0.7723988472745889
2021-01-31,141816.7,172544.3,0.8219147198719402
2021-02-28,148619.1,166120.81,0.8946446865988674
2021-03-31,144157.0,153941.03,0.9364430002839399
2021-04-30,140838.5,155414.21,0.9062137883015975
2021-05-31,146806.1,162445.86,0.9037232466250603
2021-06-30,144418.7,166126.23,0.8693311104453523
2021-07-31,147619.8,164046.56,0.899865257765844
2021-08-31,148547.1,166469.85,0.8923363600075329
2021-09-30,146735.9,171753.14,0.854341876952002
2021-10-31,147161.1,176686.57,0.8328935243918086
2021-11-30,145876.6,179312.8,0.8135314378003132
2021-12-31,145160.2,183293.14,0.7919565347617483
2022-01-31,140756.1,183213.23,0.76826384208171
2022-02-28,139354.7,177625.58,0.7845418435790612
2022-03-31,136646.9,160691.0,0.850370587027276
2022-04-30,130956.8,161704.07,0.8098546932059285
2022-05-31,135570.1,160825.56,0.8429636433412699
2022-06-30,133945.8,165248.04,0.8105742131646462
2022-07-31,137641.3,158379.72,0.8690588668801787
2022-08-31,135343.3,162831.3,0.8311872471693096
2022-09-30,132467.3,164107.53,0.8071981828012401
2022-10-31,132832.7,168241.16,0.7895374710920919
2022-11-30,142532.7,185680.17,0.7676247819032048
2022-12-31,146275.9,197797.87,0.7395221192220118
2023-01-31,146078.0,196991.52,0.7415446106512605
2023-02-28,147429.0,187304.37,0.7871092382948673
2023-03-31,148658.0,182318.84,0.815373770478136
2023-04-30,155367.4,186732.54,0.8320317390852178
2023-05-31,152464.6,190095.99,0.8020400640749972
2023-06-30,156699.3,195802.69,0.8002918652445479
