,Foreign Exchange Reserves: USD mn: Monthly: Egypt
Region,Egypt
Subnational,
Frequency,Monthly
Unit,USD mn
Source,CEIC Data
Status,Active
Series ID,269581803
SR Code,SR197289867
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,2004-12
Last Obs. Date,2023-09
Last Update Time,04/10/2023
Series remarks,
Suggestions,
Mean,24474.486283185837
Variance,89823953.15505552
Standard Deviation,9477.549955292006
Skewness,-0.13261649855942576
Kurtosis,-1.2165968266253315
Coefficient Variation,0.3872420383263839
Min,8020.1
Max,40126.3
Median,24824.050000000003
No. of Obs,226
2004-12,13446.7
2005-01,14662.8
2005-02,15455.4
2005-03,16149.2
2005-04,16589.8
2005-05,16882.7
2005-06,17392.2
2005-07,18336.4
2005-08,18798.9
2005-09,19571
2005-10,19648.1
2005-11,19781.6
2005-12,20686.2
2006-01,20596.7
2006-02,21103.2
2006-03,21438.1
2006-04,21858.3
2006-05,21848
2006-06,20834.2
2006-07,20959.2
2006-08,23002.6
2006-09,23411.6
2006-10,23867.2
2006-11,24578.5
2006-12,24392.7
2007-01,25655.1
2007-02,26139.1
2007-03,26071.3
2007-04,26437.8
2007-05,27421.8
2007-06,27843.5
2007-07,28857.9
2007-08,28977
2007-09,29005.6
2007-10,30438.1
2007-11,31404.8
2007-12,30932.4
2008-01,32173.8
2008-02,32783.2
2008-03,33267.6
2008-04,33710.4
2008-05,34066.3
2008-06,34303.3
2008-07,33623.8
2008-08,33476.4
2008-09,33285.1
2008-10,32429.3
2008-11,31693.6
2008-12,31795.8
2009-01,30927.5
2009-02,30397.1
2009-03,29513.5
2009-04,28529.3
2009-05,28508.7
2009-06,28559.4
2009-07,28879.2
2009-08,29092.3
2009-09,29864.5
2009-10,30369.8
2009-11,30364.7
2009-12,30145.4
2010-01,30410.7
2010-02,30673
2010-03,31077.8
2010-04,31230.6
2010-05,31254.3
2010-06,30826.6
2010-07,30842.7
2010-08,31095.7
2010-09,31068.4
2010-10,31045.5
2010-11,31112.4
2010-12,31550.7
2011-01,30514.9
2011-02,28822.4
2011-03,25593
2011-04,23473
2011-05,22773
2011-06,21443.2
2011-07,20739.3
2011-08,20051.1
2011-09,19096.1
2011-10,17123.5
2011-11,15246
2011-12,13230.1
2012-01,11458.6
2012-02,10816
2012-03,10224.4
2012-04,10311.2
2012-05,10653.7
2012-06,10109
2012-07,9006
2012-08,9700.6
2012-09,9591.6
2012-10,10038.7
2012-11,9591.4
2012-12,9558.6
2013-01,8162.6
2013-02,8086.7
2013-03,8020.1
2013-04,9007.2
2013-05,10636.2
2013-06,10354
2013-07,14291.1
2013-08,14321.3
2013-09,14092.9
2013-10,13958.3
2013-11,13034.7
2013-12,12343
2014-01,12348.9
2014-02,12361.6
2014-03,12562
2014-04,12596.4
2014-05,12417.4
2014-06,11818.2
2014-07,11866.6
2014-08,12006.5
2014-09,12228.4
2014-10,12237.7
2014-11,11303.4
2014-12,10796.8
2015-01,10730.7
2015-02,10948.6
2015-03,10766.8
2015-04,15943.5
2015-05,15030
2015-06,15535.9
2015-07,14153.2
2015-08,13650.3
2015-09,11874.9
2015-10,11885.4
2015-11,12121.2
2015-12,12123.4
2016-01,12069.1
2016-02,11852.2
2016-03,11885.3
2016-04,12269.4
2016-05,12834
2016-06,12707.6
2016-07,10565.2
2016-08,11588.8
2016-09,14596.2
2016-10,14203.5
2016-11,18411.8
2016-12,19735.3
2017-01,21691.5
2017-02,21735.6
2017-03,23705
2017-04,23771.3
2017-05,26239.4
2017-06,26442.1
2017-07,31113.8
2017-08,31166.8
2017-09,31531.7
2017-10,31785.3
2017-11,31743.4
2017-12,32072.4
2018-01,33068.1
2018-02,37407.4
2018-03,37468.4
2018-04,38866.4
2018-05,39098.3
2018-06,37301
2018-07,39421.6
2018-08,39584.7
2018-09,39642.6
2018-10,39621.3
2018-11,39717.1
2018-12,37642
2019-01,37588.7
2019-02,39059
2019-03,39125.3
2019-04,39335.1
2019-05,39452.3
2019-06,39456.1
2019-07,39785.3
2019-08,39652.6
2019-09,39753.7
2019-10,39801.8
2019-11,40126.3
2019-12,40027.1
2020-01,39934.7
2020-02,39916.6
2020-03,34587.3
2020-04,31331.3
2020-05,30281.5
2020-06,32015.5
2020-07,31620.6
2020-08,31737.7
2020-09,32024.2
2020-10,32847.3
2020-11,33186.7
2020-12,33422.6
2021-01,33552.3
2021-02,33943.2
2021-03,34264.6
2021-04,34060.9
2021-05,34023
2021-06,34287.9
2021-07,34144.2
2021-08,31591.6
2021-09,31959.9
2021-10,31824.8
2021-11,32057.1
2021-12,32050.4
2022-01,32081.9
2022-02,29499.9
2022-03,26938.5
2022-04,27191.8
2022-05,25863.9
2022-06,23822.4
2022-07,23670.4
2022-08,24004.8
2022-09,24339.4
2022-10,24391.3
2022-11,24243.1
2022-12,24447.2
2023-01,23772.4
2023-02,24619.4
2023-03,24120.5
2023-04,23812.2
2023-05,24344.4
2023-06,24713.7
2023-07,24156.7
2023-08,24675.4
2023-09,24934.4