date,equity,debt,net_flow
2014-04-01,65,629,694
2014-05-01,134,-1352,-1218
2014-06-01,75,135,210
2014-07-01,-105,-1285,-1390
2014-08-01,35,-1996,-1961
2014-09-01,52,136,188
2014-10-01,-103,818,715
2014-11-01,-572,130,-442
2014-12-01,-74,-422,-496
2015-01-01,-118,736,618
2015-02-01,160,-1723,-1563
2015-03-01,116,-417,-301
2015-04-01,221,-152,69
2015-05-01,12,-1268,-1256
2015-06-01,-27,-467,-494
2015-07-01,-10,-313,-323
2015-08-01,-22,-436,-458
2015-09-01,-111,-430,-541
2015-10-01,49,-1368,-1319
2015-11-01,326,-744,-418
2015-12-01,179,182,361
2016-01-01,-47,-223,-270
2016-02-01,14,-916,-902
2016-03-01,-136,-1540,-1676
2016-04-01,89,696,785
2016-05-01,-21,-829,-850
2016-06-01,-67,-115,-182
2016-07-01,38,-918,-880
2016-08-01,-95,241,146
2016-09-01,-18,241,223
2016-10-01,92,254,346
2016-11-01,3,-525,-522
2016-12-01,58,-630,-572
2017-01-01,-110,-67,-177
2017-02-01,-26,-629,-655
2017-03-01,-90,437,347
2017-04-01,-40,-530,-570
2017-05-01,21,-423,-402
2017-06-01,30,-415,-385
2017-07-01,61,-419,-358
2017-08-01,98,374,472
2017-09-01,5,240,245
2017-10-01,76,-284,-208
2017-11-01,-98,-375,-473
2017-12-01,-25,123,98
2018-01-01,-14,-232,-246
2018-02-01,-26,-374,-400
2018-03-01,-79,1049,970
2018-04-01,-25,272,247
2018-05-01,-77,181,104
2018-06-01,-87,-2222,-2309
2018-07-01,-31,-262,-293
2018-08-01,55,569,624
2018-09-01,-83,142,59
2018-10-01,89,829,918
2018-11-01,254,273,527
2018-12-01,-5,-196,-201
2019-01-01,48,-285,-237
2019-02-01,-3,-785,-788
2019-03-01,55,-49,6
2019-04-01,40,-172,-132
2019-05-01,-161,427,266
2019-06-01,-93,209,116
2019-07-01,112,832,944
2019-08-01,-77,-485,-562
2019-09-01,26,-379,-353
2019-10-01,52,-154,-102
2019-11-01,161,-321,-160
2019-12-01,62,-474,-412
2020-01-01,-52,-2157,-2209
2020-02-01,-48,-750,-798
2020-03-01,-93,-631,-724
2020-04-01,-235,67,-168
2020-05-01,-30,998,968
2020-06-01,-121,-979,-1100
2020-07-01,-134,80,-54
2020-08-01,-52,-1090,-1142
2020-09-01,-138,322,184
2020-10-01,-7,743,736
2020-11-01,185,136,321
2020-12-01,162,102,264
2021-01-01,1,425,426
2021-02-01,-27,553,526
2021-03-01,-49,-887,-936
2021-04-01,-120,359,239
2021-05-01,152,-629,-477
2021-06-01,67,-789,-722
2021-07-01,-38,1445,1407
2021-08-01,132,-98,34
2021-09-01,74,449,523
2021-10-01,-757,-670,-1427
2021-11-01,-180,-162,-342
2021-12-01,-103,-1151,-1254
2022-01-01,-997,1775,778
2022-02-01,186,274,460
2022-03-01,-190,-918,-1108
2022-04-01,-186,1898,1712
2022-05-01,-266,716,450
2022-06-01,-192,-1992,-2184
2022-07-01,2,1575,1577
2022-08-01,33,93,126
2022-09-01,-40,-1340,-1380
2022-10-01,0,2861,2861
2022-11-01,99,-85,14
2022-12-01,-74,-1151,-1225
2023-01-01,85,4045,4130
2023-02-01,-41,386,345
2023-03-01,-86,-654,-740
2023-04-01,-19,2503,2484
2023-05-01,45,-645,-600
2023-06-01,59,-2029,-1970
2023-07-01,106,1045,1151
