date,equity,debt,net_flow
2000-01-01,66,438,504
2000-02-01,238,252,490
2000-03-01,-6,1612,1606
2000-04-01,-107,216,109
2000-05-01,-53,42,-11
2000-06-01,88,126,214
2000-07-01,145,164,309
2000-08-01,31,51,82
2000-09-01,0,172,172
2000-10-01,-68,-545,-613
2000-11-01,83,284,367
2000-12-01,29,197,226
2001-01-01,15,518,533
2001-02-01,10,690,700
2001-03-01,-106,995,889
2001-04-01,85,-230,-145
2001-05-01,-10,-439,-449
2001-06-01,-90,-185,-275
2001-07-01,0,101,101
2001-08-01,42,155,197
2001-09-01,1,-235,-234
2001-10-01,-88,-352,-440
2001-11-01,-77,381,304
2001-12-01,-92,-16,-108
2002-01-01,34,376,410
2002-02-01,-169,262,93
2002-03-01,-31,1228,1197
2002-04-01,-118,721,603
2002-05-01,28,310,338
2002-06-01,-78,-125,-203
2002-07-01,-160,250,90
2002-08-01,-31,410,379
2002-09-01,-58,484,426
2002-10-01,-44,-782,-826
2002-11-01,-60,362,302
2002-12-01,150,120,270
2003-01-01,27,346,373
2003-02-01,-47,2887,2840
2003-03-01,-25,-52,-77
2003-04-01,-71,-847,-918
2003-05-01,95,446,541
2003-06-01,75,-519,-444
2003-07-01,81,-904,-823
2003-08-01,-206,-230,-436
2003-09-01,-180,938,758
2003-10-01,35,1274,1309
2003-11-01,-364,1008,644
2003-12-01,-250,253,3
2004-01-01,105,2030,2135
2004-02-01,92,35,127
2004-03-01,64,1836,1900
2004-04-01,128,240,368
2004-05-01,-143,710,567
2004-06-01,94,1239,1333
2004-07-01,32,442,474
2004-08-01,-71,452,381
2004-09-01,75,689,764
2004-10-01,49,41,90
2004-11-01,619,1244,1863
2004-12-01,651,-8,643
2005-01-01,201,3454,3655
2005-02-01,595,1877,2472
2005-03-01,208,-100,108
2005-04-01,65,2975,3040
2005-05-01,-70,4155,4085
2005-06-01,51,582,633
2005-07-01,161,718,879
2005-08-01,52,283,335
2005-09-01,685,-429,256
2005-10-01,-167,145,-22
2005-11-01,-123,76,-47
2005-12-01,-308,-1,-309
2006-01-01,-339,816,477
2006-02-01,-150,3581,3431
2006-03-01,-99,16,-83
2006-04-01,-170,630,460
2006-05-01,-670,-710,-1380
2006-06-01,-155,-1301,-1456
2006-07-01,101,534,635
2006-08-01,-3,-682,-685
2006-09-01,10,-264,-254
2006-10-01,68,131,199
2006-11-01,-499,-99,-598
2006-12-01,-253,1199,946
2007-01-01,-35,3322,3287
2007-02-01,45,-1593,-1548
2007-03-01,-380,-1527,-1907
2007-04-01,132,264,396
2007-05-01,22,1131,1153
2007-06-01,-285,-2035,-2320
2007-07-01,6,250,256
2007-08-01,-277,-740,-1017
2007-09-01,12,-685,-673
2007-10-01,-191,1770,1579
2007-11-01,101,-283,-182
2007-12-01,393,662,1055
2008-01-01,348,-267,81
2008-02-01,151,187,338
2008-03-01,-219,-3031,-3250
2008-04-01,353,-544,-191
2008-05-01,444,210,654
2008-06-01,222,2314,2536
2008-07-01,432,141,573
2008-08-01,426,763,1189
2008-09-01,-500,-1482,-1982
2008-10-01,-914,-3133,-4047
2008-11-01,-119,-102,-221
2008-12-01,-68,-510,-578
2009-01-01,-95,-981,-1076
2009-02-01,-478,482,4
2009-03-01,-372,78,-294
2009-04-01,64,1275,1339
2009-05-01,236,2110,2346
2009-06-01,164,748,912
2009-07-01,237,4984,5221
2009-08-01,555,229,784
2009-09-01,265,1700,1965
2009-10-01,1086,2354,3440
2009-11-01,-167,982,815
2009-12-01,112,392,504
2010-01-01,340,6444,6784
2010-02-01,109,1635,1744
2010-03-01,180,1450,1630
2010-04-01,472,1328,1800
2010-05-01,991,1021,2012
2010-06-01,634,751,1385
2010-07-01,533,3200,3733
2010-08-01,210,4276,4486
2010-09-01,-212,1869,1657
2010-10-01,1101,-1270,-169
2010-11-01,2231,-1457,774
2010-12-01,816,2236,3052
2011-01-01,-82,1623,1541
2011-02-01,-40,-380,-420
2011-03-01,640,1905,2545
2011-04-01,53,1511,1564
2011-05-01,325,706,1031
2011-06-01,1410,2773,4183
2011-07-01,105,1186,1291
2011-08-01,-82,3856,3774
2011-09-01,462,-208,254
2011-10-01,372,-35,337
2011-11-01,-27,345,318
2011-12-01,-28,305,277
2012-01-01,126,2101,2227
2012-02-01,589,2121,2710
2012-03-01,599,439,1038
2012-04-01,-158,-2275,-2433
2012-05-01,30,2665,2695
2012-06-01,664,3226,3890
2012-07-01,557,-285,272
2012-08-01,650,1582,2232
2012-09-01,-12,2691,2679
2012-10-01,-9,1529,1520
2012-11-01,-2,2251,2249
2012-12-01,628,214,842
2013-01-01,792,2928,3720
2013-02-01,471,-1384,-913
2013-03-01,168,917,1085
2013-04-01,194,-250,-56
2013-05-01,255,528,783
2013-06-01,254,-2852,-2598
2013-07-01,-37,-170,-207
2013-08-01,443,-1405,-962
2013-09-01,-525,1085,560
2013-10-01,731,-1043,-312
2013-11-01,-194,973,779
2013-12-01,275,448,723
2014-01-01,-154,82,-72
2014-02-01,132,-43,89
2014-03-01,515,-950,-435
2014-04-01,1248,-337,911
2014-05-01,420,1262,1682
2014-06-01,883,2640,3523
2014-07-01,-1103,134,-969
2014-08-01,1485,-1144,341
2014-09-01,2068,78,2146
2014-10-01,-1226,-2052,-3278
2014-11-01,166,671,837
2014-12-01,-1151,81,-1070
2015-01-01,-310,1517,1207
2015-02-01,37,632,669
2015-03-01,248,251,499
2015-04-01,612,-988,-376
2015-05-01,756,-1119,-363
2015-06-01,632,1164,1796
2015-07-01,-872,-442,-1314
2015-08-01,-210,-465,-675
2015-09-01,1085,2167,3252
2015-10-01,-873,-360,-1233
2015-11-01,1419,1124,2543
2015-12-01,1680,254,1934
2016-01-01,27,-3236,-3209
2016-02-01,174,-3685,-3511
2016-03-01,206,242,448
2016-04-01,729,2779,3508
2016-05-01,-68,2002,1934
2016-06-01,546,585,1131
2016-07-01,-315,-1310,-1625
2016-08-01,-132,1813,1681
2016-09-01,-979,628,-351
2016-10-01,-1321,1096,-225
2016-11-01,-1227,-1902,-3129
2016-12-01,-189,1561,1372
2017-01-01,185,11,196
2017-02-01,88,428,516
2017-03-01,99,2072,2171
2017-04-01,115,976,1091
2017-05-01,77,-2,75
2017-06-01,-148,455,307
2017-07-01,282,-36,246
2017-08-01,200,-576,-376
2017-09-01,103,811,914
2017-10-01,329,-547,-218
2017-11-01,48,266,314
2017-12-01,64,731,795
2018-01-01,597,-1775,-1178
2018-02-01,64,1493,1557
2018-03-01,-32,847,815
2018-04-01,377,-1005,-628
2018-05-01,358,-1136,-778
2018-06-01,-250,-1640,-1890
2018-07-01,64,-1281,-1217
2018-08-01,-19,-498,-517
2018-09-01,-48,599,551
2018-10-01,-408,839,431
2018-11-01,71,-1071,-1000
2018-12-01,189,-50,139
2019-01-01,648,-4357,-3709
2019-02-01,230,-2440,-2210
2019-03-01,-103,3218,3115
2019-04-01,273,-907,-634
2019-05-01,-136,-722,-858
2019-06-01,127,120,247
2019-07-01,6,-2689,-2683
2019-08-01,-336,-1498,-1834
2019-09-01,-26,-142,-168
2019-10-01,-90,-2146,-2236
2019-11-01,-112,-755,-867
2019-12-01,-221,-106,-327
2020-01-01,20,-1272,-1252
2020-02-01,-83,2446,2363
2020-03-01,-572,-1925,-2497
2020-04-01,-307,-7271,-7578
2020-05-01,-116,853,737
2020-06-01,-253,-1575,-1828
2020-07-01,-18,794,776
2020-08-01,30,-575,-545
2020-09-01,-155,152,-3
2020-10-01,-9750,140,-9610
2020-11-01,8176,400,8576
2020-12-01,-432,452,20
2021-01-01,28,41,69
2021-02-01,-275,-569,-844
2021-03-01,23,-2343,-2320
2021-04-01,130,-2143,-2013
2021-05-01,51,-2187,-2136
2021-06-01,31,828,859
2021-07-01,-8,1272,1264
2021-08-01,42,-123,-81
2021-09-01,165,-362,-197
2021-10-01,379,-998,-619
2021-11-01,-14,-421,-435
2021-12-01,158,-558,-400
2022-01-01,252,-1382,-1130
2022-02-01,-15,-682,-697
2022-03-01,-191,-994,-1185
2022-04-01,-84,1103,1019
2022-05-01,-26,3586,3560
2022-06-01,-121,309,188
2022-07-01,-195,-109,-304
2022-08-01,-192,851,659
2022-09-01,-276,546,270
2022-10-01,-397,300,-97
2022-11-01,143,2746,2889
2022-12-01,-89,647,558
2023-01-01,288,-2635,-2347
2023-02-01,-188,4258,4070
2023-03-01,-371,-1511,-1882
2023-04-01,89,4479,4568
2023-05-01,195,1928,2123
2023-06-01,230,900,1130
2023-07-01,173,-1147,-974
