date,equity,debt,net_flow
2005-01-01,29,0,29
2005-02-01,13,0,13
2005-03-01,-17,-3,-20
2005-04-01,-1,-3,-4
2005-05-01,3,4,7
2005-06-01,29,603,632
2005-07-01,27,2,29
2005-08-01,12,0,12
2005-09-01,37,18,55
2005-10-01,7,0,7
2005-11-01,51,-352,-301
2005-12-01,40,596,636
2006-01-01,69,1,70
2006-02-01,49,0,49
2006-03-01,-17,0,-17
2006-04-01,7,1,8
2006-05-01,17,0,17
2006-06-01,0,3,3
2006-07-01,-5,-14,-19
2006-08-01,-6,1,-5
2006-09-01,14,-115,-101
2006-10-01,42,-1,41
2006-11-01,101,96,197
2006-12-01,29,315,344
2007-01-01,92,107,199
2007-02-01,143,80,223
2007-03-01,146,-110,36
2007-04-01,73,-4,69
2007-05-01,76,-99,-23
2007-06-01,130,-8,122
2007-07-01,99,-36,63
2007-08-01,-35,11,-24
2007-09-01,22,-13,9
2007-10-01,47,-3,44
2007-11-01,-41,0,-41
2007-12-01,-3,-189,-192
2008-01-01,76,457,533
2008-02-01,-4,3,-1
2008-03-01,17,0,17
2008-04-01,-6,0,-6
2008-05-01,-84,40,-44
2008-06-01,8,127,135
2008-07-01,13,-43,-30
2008-08-01,5,-38,-33
2008-09-01,-3,55,52
2008-10-01,15,-367,-352
2008-11-01,-11,-27,-38
2008-12-01,-3,-642,-645
2009-01-01,1,-17,-16
2009-02-01,4,-3,1
2009-03-01,8,-5,3
2009-04-01,-16,1,-15
2009-05-01,0,-1,-1
2009-06-01,15,6,21
2009-07-01,-6,203,197
2009-08-01,1,98,99
2009-09-01,1,215,216
2009-10-01,18,13,31
2009-11-01,7,382,389
2009-12-01,-26,59,33
2010-01-01,-3,89,86
2010-02-01,-1,19,18
2010-03-01,18,1888,1906
2010-04-01,9,258,267
2010-05-01,-11,-219,-230
2010-06-01,-4,-124,-128
2010-07-01,3,-702,-699
2010-08-01,-4,133,129
2010-09-01,5,-30,-25
2010-10-01,1,199,200
2010-11-01,-4,-96,-100
2010-12-01,-7,363,356
2011-01-01,-79,934,855
2011-02-01,27,29,56
2011-03-01,7,203,210
2011-04-01,-10,487,477
2011-05-01,-4,984,980
2011-06-01,3,1802,1805
2011-07-01,3,-227,-224
2011-08-01,9,-175,-166
2011-09-01,7,-357,-350
2011-10-01,-3,-182,-185
2011-11-01,5,-784,-779
2011-12-01,-1,-198,-199
2012-01-01,352,82,434
2012-02-01,3,2004,2007
2012-03-01,-4,808,804
2012-04-01,4,216,220
2012-05-01,3,-1249,-1246
2012-06-01,10,-407,-397
2012-07-01,15,-404,-389
2012-08-01,20,124,144
2012-09-01,8,747,755
2012-10-01,-23,169,146
2012-11-01,9,1471,1480
2012-12-01,7,1323,1330
2013-01-01,37,3064,3101
2013-02-01,-16,1300,1284
2013-03-01,40,57,97
2013-04-01,90,528,618
2013-05-01,34,136,170
2013-06-01,4,-393,-389
2013-07-01,111,453,564
2013-08-01,17,-166,-149
2013-09-01,-140,1890,1750
2013-10-01,309,325,634
2013-11-01,279,-763,-484
2013-12-01,288,27,315
2014-01-01,-307,1761,1454
2014-02-01,48,-171,-123
2014-03-01,6,-336,-330
2014-04-01,-144,2064,1920
2014-05-01,-11,-1396,-1407
2014-06-01,-4,500,496
2014-07-01,676,-790,-114
2014-08-01,-48,359,311
2014-09-01,-71,-3,-74
2014-10-01,138,1216,1354
2014-11-01,59,352,411
2014-12-01,212,-210,2
2015-01-01,-174,-421,-595
2015-02-01,0,151,151
2015-03-01,-3,-725,-728
2015-04-01,-379,274,-105
2015-05-01,-8,-608,-616
2015-06-01,295,-550,-255
2015-07-01,-22,2,-20
2015-08-01,-236,120,-116
2015-09-01,-35,-26,-61
2015-10-01,40,1892,1932
2015-11-01,-27,186,159
2015-12-01,899,-316,583
2016-01-01,-522,-462,-984
2016-02-01,49,667,716
2016-03-01,-20,398,378
2016-04-01,42,-536,-494
2016-05-01,54,1077,1131
2016-06-01,-64,-1023,-1087
2016-07-01,116,53,169
2016-08-01,-83,861,778
2016-09-01,-99,-52,-151
2016-10-01,34,921,955
2016-11-01,3,-387,-384
2016-12-01,40,407,447
2017-01-01,-21,-258,-279
2017-02-01,-14,-59,-73
2017-03-01,-59,797,738
2017-04-01,0,1795,1795
2017-05-01,40,282,322
2017-06-01,-71,-117,-188
2017-07-01,-43,-39,-82
2017-08-01,211,39,250
2017-09-01,-7,355,348
2017-10-01,-46,891,845
2017-11-01,-8,-135,-143
2017-12-01,-43,409,366
2018-01-01,-13,-252,-265
2018-02-01,-122,2486,2364
2018-03-01,11,86,97
2018-04-01,-41,20,-21
2018-05-01,-4,-229,-233
2018-06-01,-27,-217,-244
2018-07-01,-55,113,58
2018-08-01,82,-6,76
2018-09-01,-87,57,-30
2018-10-01,-32,1870,1838
2018-11-01,-57,2,-55
2018-12-01,-135,492,357
2019-01-01,-47,-471,-518
2019-02-01,-80,211,131
2019-03-01,12,-335,-323
2019-04-01,-12,2558,2546
2019-05-01,-25,28,3
2019-06-01,-103,721,618
2019-07-01,-91,2456,2365
2019-08-01,38,167,205
2019-09-01,-20,-361,-381
2019-10-01,-257,204,-53
2019-11-01,-41,-567,-608
2019-12-01,-31,330,299
2020-01-01,-40,3306,3266
2020-02-01,-31,2107,2076
2020-03-01,-62,-555,-617
2020-04-01,34,-752,-718
2020-05-01,-141,3365,3224
2020-06-01,-96,776,680
2020-07-01,-37,3443,3406
2020-08-01,-236,553,317
2020-09-01,172,-470,-298
2020-10-01,-74,1308,1234
2020-11-01,-31,343,312
2020-12-01,-17,2766,2749
2021-01-01,-21,416,395
2021-02-01,27,-475,-448
2021-03-01,-27,-1177,-1204
2021-04-01,-10,3962,3952
2021-05-01,-84,-176,-260
2021-06-01,4,-396,-392
2021-07-01,-21,4237,4216
2021-08-01,46,369,415
2021-09-01,110,-372,-262
2021-10-01,-21,-409,-430
2021-11-01,-130,55,-75
2021-12-01,-7,110,103
2022-01-01,9,2080,2089
2022-02-01,-83,938,855
2022-03-01,-34,-874,-908
2022-04-01,5,390,395
2022-05-01,-7,1622,1615
2022-06-01,-76,320,244
2022-07-01,8,-182,-174
2022-08-01,56,777,833
2022-09-01,-253,1634,1381
2022-10-01,-47,-751,-798
2022-11-01,-99,244,145
2022-12-01,276,489,765
2023-01-01,-56,7115,7059
2023-02-01,-9,2319,2310
2023-03-01,-104,337,233
2023-04-01,-24,287,263
2023-05-01,35,2037,2072
2023-06-01,2,724,726
2023-07-01,696,493,1189
