,Money Supply M2: USD mn: Monthly: Poland
Region,Poland
Subnational,
Frequency,Monthly
Unit,USD mn
Source,CEIC Data
Status,Active
Series ID,384187617
SR Code,SR197265947
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,Dec-96
Last Obs. Date,Aug-23
Last Update Time,22/09/2023
Series remarks,
Suggestions,
Mean,234692.9312
Variance,19505525189
Standard Deviation,139662.1824
Skewness,0.263575681
Kurtosis,-1.044661363
Coefficient Variation,0.595084742
Min,46155.17593
Max,539676.8054
Median,250765.8215
No. of Obs,321
Dec-96,48700.65241
Jan-97,46259.55226
Feb-97,46155.17593
Mar-97,46840.30137
Apr-97,46675.674
May-97,47251.58255
Jun-97,46887.89014
Jul-97,46218.97401
Aug-97,46682.66734
Sep-97,48153.84564
Oct-97,48681.24018
Nov-97,48910.36847
Dec-97,50988.66003
Jan-98,50237.88199
Feb-98,51895.72837
Mar-98,53038.81137
Apr-98,54673.59682
May-98,54738.17747
Jun-98,56072.49734
Jul-98,58077.81307
Aug-98,54791.84144
Sep-98,57682.77033
Oct-98,60189.59373
Nov-98,60376.04387
Dec-98,63835.07449
Jan-99,61835.36431
Feb-99,59212.38147
Mar-99,59017.56858
Apr-99,59857.43829
May-99,60423.91815
Jun-99,61678.23956
Jul-99,63236.05155
Aug-99,62133.44788
Sep-99,61258.21905
Oct-99,61105.35939
Nov-99,60917.12211
Dec-99,64773.65306
Jan-00,61995.58513
Feb-00,63670.97493
Mar-00,65076.30902
Apr-00,61710.37189
May-00,63007.43043
Jun-00,66434.36878
Jul-00,65515.27957
Aug-00,65031.24509
Sep-00,63618.21073
Oct-00,63069.28295
Nov-00,66782.15737
Dec-00,72510.17016
Jan-01,73136.94513
Feb-01,74504.63594
Mar-01,75381.90244
Apr-01,78046.0841
May-01,78022.25457
Jun-01,78935.79218
Jul-01,75689.23792
Aug-01,76680.87042
Sep-01,77151.43602
Oct-01,80737.68366
Nov-01,78866.69717
Dec-01,82650.364
Jan-02,77684.31659
Feb-02,77577.78124
Mar-02,77674.64316
Apr-02,80325.01306
May-02,80496.52179
Jun-02,80307.46103
Jul-02,78485.56579
Aug-02,78710.16779
Sep-02,78110.34593
Oct-02,80503.05848
Nov-02,80234.18459
Dec-02,84491.61978
Jan-03,83765.62859
Feb-03,82549.3686
Mar-03,79640.06961
Apr-03,83837.15826
May-03,87597.25781
Jun-03,84107.44393
Jul-03,84697.71494
Aug-03,82544.07921
Sep-03,83381.58421
Oct-03,83847.82373
Nov-03,86225.62135
Dec-03,91661.60139
Jan-04,87565.87531
Feb-04,86554.38252
Mar-04,88139.6581
Apr-04,87141.96602
May-04,91111.53533
Jun-04,93486.65653
Jul-04,96198.96609
Aug-04,95922.19959
Sep-04,99153.28404
Oct-04,109629.9287
Nov-04,112990.7033
Dec-04,123299.27
Jan-05,117441.3317
Feb-05,125993.5517
Mar-05,120663.8343
Apr-05,116898.2433
May-05,117878.5393
Jun-05,116601.3948
Jul-05,116106.2727
Aug-05,119922.0872
Sep-05,123278.9624
Oct-05,123085.3966
Nov-05,123257.0822
Dec-05,127300.0089
Jan-06,129661.7787
Feb-06,131283.6688
Mar-06,129620.6737
Apr-06,137892.3488
May-06,141371.8014
Jun-06,138453.9785
Jul-06,143621.0496
Aug-06,146491.8081
Sep-06,144536.4608
Oct-06,149856.9195
Nov-06,161204.0552
Dec-06,165336.0131
Jan-07,160546.3266
Feb-07,166799.0373
Mar-07,171138.6692
Apr-07,180223.0166
May-07,177652.8372
Jun-07,181073.6336
Jul-07,184985.6818
Aug-07,186406.413
Sep-07,196443.4856
Oct-07,209848.5466
Nov-07,218019.8003
Dec-07,225603.4049
Jan-08,227517.6905
Feb-08,244259.122
Mar-08,255627.193
Apr-08,261365.5513
May-08,270027.7112
Jun-08,281003.2283
Jul-08,295266.0422
Aug-08,270940.4738
Sep-08,261389.8684
Oct-08,220381.7326
Nov-08,219205.8988
Dec-08,222918.4536
Jan-09,191842.8246
Feb-09,183403.5443
Mar-09,191682.0909
Apr-09,205484.6919
May-09,213895.7679
Jun-09,216637.1238
Jul-09,231127.8012
Aug-09,236753.1906
Sep-09,237596.6186
Oct-09,244427.5919
Nov-09,252341.2579
Dec-09,250765.8215
Jan-10,242528.6411
Feb-10,243073.4481
Mar-10,248176.0164
Apr-10,243326.0324
May-10,220375.3731
Jun-10,216925.5865
Jul-10,238969.1243
Aug-10,234000.373
Sep-10,254527.1121
Oct-10,259130.3692
Nov-10,241036.6964
Dec-10,261346.7508
Jan-11,263875.471
Feb-11,267301.0381
Mar-11,280799.7354
Apr-11,294008.6363
May-11,285229.5486
Jun-11,286413.9332
Jul-11,280176.4741
Aug-11,278874.2715
Sep-11,249973.9532
Oct-11,263533.0283
Nov-11,244333.6928
Dec-11,252749.3185
Jan-12,266983.9092
Feb-12,279926.4146
Mar-12,275718.9417
Apr-12,271327.9507
May-12,245137.9639
Jun-12,256390.0992
Jul-12,259358.7299
Aug-12,261732.1989
Sep-12,275192.9515
Oct-12,276366.777
Nov-12,279270.1342
Dec-12,290468.6834
Jan-13,290120.1069
Feb-13,285493.5544
Mar-13,281018.5284
Apr-13,288367.8317
May-13,279219.5357
Jun-13,279531.1246
Jul-13,288659.6774
Aug-13,288229.6399
Sep-13,298152.8213
Oct-13,306518.2525
Nov-13,303025.7524
Dec-13,318839.6125
Jan-14,302813.642
Feb-14,315424.0937
Mar-14,317896.0391
Apr-14,318578.6846
May-14,320355.151
Jun-14,321625.5334
Jul-14,317028.7374
Aug-14,313820.8553
Sep-14,304295.7392
Oct-14,302438.9716
Nov-14,302829.5932
Dec-14,297831.0068
Jan-15,277503.6136
Feb-15,280897.9337
Mar-15,275632.5041
Apr-15,289949.6032
May-15,279456.6008
Jun-15,283144.4481
Jul-15,283180.2803
Aug-15,286714.8497
Sep-15,289852.8635
Oct-15,285769.0892
Nov-15,277464.6983
Dec-15,293573.3042
Jan-16,280173.6947
Feb-16,288066.4475
Mar-16,307192.3642
Apr-16,301975.7533
May-16,299890.824
Jun-16,299483.3367
Jul-16,303510.8274
Aug-16,305839.5609
Sep-16,311382.7667
Oct-16,306158.3889
Nov-16,295096.7345
Dec-16,300579.4894
Jan-17,306315.6285
Feb-17,305308.0689
Mar-17,315103.0057
Apr-17,322068.2213
May-17,334818.3126
Jun-17,337006.9708
Jul-17,345314.307
Aug-17,351533.0294
Sep-17,346764.435
Oct-17,349699.9702
Nov-17,361522.724
Dec-17,377114.1008
Jan-18,389056.4542
Feb-18,381368.9134
Mar-18,383930.8899
Apr-18,376590.3605
May-18,357917.4602
Jun-18,357667.1036
Jul-18,368181.8533
Aug-18,367550.5368
Sep-18,369841.0415
Oct-18,361355.0116
Nov-18,369789.8723
Dec-18,379879.5662
Jan-19,378527.1219
Feb-19,378038.5697
Mar-19,376080.8925
Apr-19,379487.3048
May-19,381170.6886
Jun-19,392510.004
Jul-19,383516.6536
Aug-19,374772.0596
Sep-19,373965.9463
Oct-19,396056.8371
Nov-19,389528.975
Dec-19,408839.006
Jan-20,396675.4348
Feb-20,399778.1506
Mar-20,390051.1904
Apr-20,399437.3913
May-20,427796.5564
Jun-20,436951.744
Jul-20,466345.8933
Aug-20,470269.7934
Sep-20,453939.9327
Oct-20,448661.3103
Nov-20,477415.3064
Dec-20,482851.4456
Jan-21,483828.2531
Feb-21,491162.9401
Mar-21,467825.5694
Apr-21,491274.3356
May-21,508231.7275
Jun-21,491558.9507
Jul-21,491404.9068
Aug-21,493689.7353
Sep-21,477886.0824
Oct-21,486600.1556
Nov-21,476352.6668
Dec-21,486329.2512
Jan-22,474400.4907
Feb-22,470747.8375
Mar-22,478282.2653
Apr-22,454385.9158
May-22,470115.0519
Jun-22,443777.1877
Jul-22,431891.1662
Aug-22,429425.0433
Sep-22,414360.3252
Oct-22,434700.5087
Nov-22,459032.9896
Dec-22,472136.0316
Jan-23,478883.1575
Feb-23,476268.0859
Mar-23,494241.3176
Apr-23,511347.2922
May-23,503059.6913
Jun-23,521073.817
Jul-23,539676.8054
Aug-23,531251.1513
